Date,Currency,Buying,Selling,Mean
2009-01-08,CHF,1148.5112,1171.289,1159.9001
2009-01-08,DEM,572.2334,583.1355,577.6845
2009-01-08,ATS,81.3353,82.8849,82.1101
2009-01-08,KWD,4494.5108,4553.1796,4523.8452
2009-01-08,INR,26.2421,26.7557,26.4989
2009-01-08,ZAR,131.9897,133.2683,132.629
2009-01-08,AUD,892.6981,911.379,902.0386
2009-01-08,KES,18.368,18.703,18.5355
2009-01-08,FIM,188.2347,191.8209,190.0278
2009-01-08,CAD,1059.5143,1080.4671,1069.9907
2009-01-08,NLG,507.8723,517.5517,512.712
2009-01-08,BEF,27.7442,28.2726,28.0084
2009-01-08,JPY,13.6908,13.9644,13.8276
2009-01-08,GOLD,1070908.2153,1095387.5513,1083147.8833
2009-01-08,ESP,6.7266,6.8545,6.7906
2009-01-09,SEK,162.9499,166.0504,164.5002
2009-01-09,ATS,81.6339,83.1891,82.4115
2009-01-09,KES,18.4355,18.7716,18.6036
2009-01-09,GBP,1931.5054,1971.3044,1951.4049
2009-01-09,MWK,14.4562,14.5826,14.5194
2009-01-09,ESP,6.7513,6.8797,6.8155
2009-01-09,EUR,1736.7392,1772.344,1754.5416
2009-01-09,FIM,188.9257,192.5251,190.7254
2009-01-09,CHF,1160.8267,1183.7377,1172.2822
2009-01-09,NLG,509.7368,519.4517,514.5942
2009-01-09,JPY,13.946,14.2199,14.0829
2009-01-09,AUD,901.3183,919.7863,910.5523
2009-01-09,SAR,339.231,345.9918,342.6114
2009-01-09,BEF,27.8461,28.3763,28.1112
2009-01-09,FRF,171.248,174.5078,172.8779
2009-01-09,DKK,233.0756,237.7406,235.4081
2009-01-09,GOLD,1084380.66,1108883.04,1096631.85
2009-01-09,BIF,1.2303,1.31,1.2702
2009-01-09,NOK,181.3212,184.8526,183.0869
2009-01-09,KWD,4527.0631,4594.1593,4560.6112
2009-01-09,CAD,1073.8161,1094.9549,1084.3855
2009-01-09,DEM,574.3341,585.2762,579.8052
2009-01-09,INR,25.9835,26.4975,26.2405
2009-01-09,UGX,0.7791,0.79,0.7846
2009-01-09,USD,1272.15,1297.85,1285.0
2009-01-09,ZAR,132.5266,134.5034,133.515
2009-01-09,SDR,2000.9775,2041.4013,2021.1894
2009-01-09,AED,346.3989,353.3007,349.8498
2009-01-09,PKR,22.1244,22.4736,22.299
2009-01-09,ITL,0.5801,0.5912,0.5857
2009-01-13,FIM,189.2932,192.8996,191.0964
2009-01-13,SEK,155.2944,158.1907,156.7425
2009-01-13,KES,18.4713,18.8082,18.6397
2009-01-13,ESP,6.7644,6.8931,6.8288
2009-01-13,BEF,27.9003,28.4315,28.1659
2009-01-13,INR,25.9862,26.4842,26.2352
2009-01-13,GOLD,1044109.0687,1067022.7063,1055565.8875
2009-01-13,CHF,1142.3418,1165.0018,1153.6718
2009-01-13,UGX,0.7806,0.7915,0.7861
2009-01-13,SAR,339.9091,346.6835,343.2963
2009-01-13,CAD,1041.6156,1062.2244,1051.92
2009-01-13,ITL,0.5813,0.5923,0.5868
2009-01-13,SDR,2004.8704,2045.3728,2025.1216
2009-01-13,AUD,851.322,869.1707,860.2463
2009-01-13,DEM,575.4515,586.4149,580.9332
2009-01-13,FRF,171.5812,174.8474,173.2143
2009-01-13,NLG,510.7285,520.4623,515.5954
2009-01-13,ATS,81.7927,83.3509,82.5718
2009-01-13,GBP,1859.8053,1898.0273,1878.9163
2009-01-13,DKK,227.6279,232.1933,229.9106
2009-01-13,MWK,14.4844,14.611,14.5477
2009-01-13,KWD,4496.0317,4554.7285,4525.3801
2009-01-13,EUR,1695.8886,1730.539,1713.2138
2009-01-13,ZAR,126.3882,128.1474,127.2678
2009-01-13,BIF,1.2327,1.31,1.2714
2009-01-13,USD,1274.625,1300.375,1287.5
2009-01-13,JPY,14.2815,14.5684,14.425
2009-01-13,NOK,178.9575,182.4115,180.6845
2009-01-13,PKR,22.1674,22.5174,22.3424
2009-01-13,AED,347.2147,353.8435,350.5291
2009-01-14,GOLD,1050482.1937,1074304.8062,1062393.5
2009-01-14,SAR,339.9,346.6742,343.2871
2009-01-14,CHF,1143.1614,1165.6284,1154.3949
2009-01-14,KWD,4496.0317,4554.7285,4525.3801
2009-01-14,SEK,154.665,157.3866,156.0258
2009-01-14,MWK,14.4844,14.611,14.5477
2009-01-14,BEF,27.9003,28.4315,28.1659
2009-01-14,ESP,6.7644,6.8931,6.8288
2009-01-14,AED,347.0162,353.9784,350.4973
2009-01-14,BIF,1.2327,1.31,1.2714
2009-01-14,GBP,1854.0695,1892.3057,1873.1876
2009-01-14,DKK,226.8702,231.3464,229.1083
2009-01-14,PKR,22.1674,22.5174,22.3424
2009-01-14,ITL,0.5813,0.5923,0.5868
2009-01-14,ZAR,128.2319,129.5195,128.8757
2009-01-14,CAD,1047.7805,1068.5087,1058.1446
2009-01-14,DEM,575.4515,586.4149,580.9332
2009-01-14,ATS,81.7927,83.3509,82.5718
2009-01-14,FRF,171.5812,174.8474,173.2143
2009-01-14,KES,18.4713,18.8082,18.6397
2009-01-14,USD,1274.625,1300.375,1287.5
2009-01-14,FIM,189.2932,192.8996,191.0964
2009-01-14,JPY,14.2496,14.5293,14.3895
2009-01-14,INR,26.114,26.6306,26.3723
2009-01-14,UGX,0.7806,0.7915,0.7861
2009-01-14,EUR,1689.8979,1724.5574,1707.2276
2009-01-14,NLG,510.7285,520.4623,515.5954
2009-01-14,SDR,2004.8704,2045.3728,2025.1216
2009-01-14,NOK,179.5146,182.791,181.1528
2009-01-14,AUD,858.5874,876.5828,867.5851
2009-01-15,JPY,14.4609,14.7431,14.602
2009-01-15,GBP,1877.3174,1916.0302,1896.6738
2009-01-15,UGX,0.7876,0.7986,0.7931
2009-01-15,ITL,0.5865,0.5976,0.592
2009-01-15,CAD,1031.5312,1051.9484,1041.7398
2009-01-15,DKK,227.2946,231.7348,229.5147
